"wavelength_nm"; "responsivity_ApW"
224.4907975460123; 5.594597839135652
228.6468984321745; 6.157623049219691
232.48329925017043; 6.712605042016808
236.00000000000003; 7.287695078031213
241.7546012269939; 7.875855342136855
249.56441717791415; 8.291269234966713
258.6073619631902; 8.282494816108262
264.3619631901841; 7.606206482593038
271.76073619631904; 7.008010476918042
280.8036809815951; 6.858845356324348
288.6591683708249; 7.1549819927971186
295.6012269938651; 7.771384917603402
304.6441717791412; 8.089457601222307
313.68711656441724; 8.120168067226892
322.7300613496933; 8.133329695514568
331.77300613496936; 8.326366910400523
340.8159509202454; 8.539146567717992
349.8588957055215; 8.543533777147221
358.1971954425943; 8.001243354484647
368.28732106339476; 7.993487394957988
374.5214723926381; 8.457983193277311
379.8650306748467; 9.145678271308523
384.79754601227; 9.73685474189676
390.1411042944786; 10.288389641570916
396.717791411043; 10.900440176070429
401.9243353783231; 11.514405762304921
408.22699386503075; 12.056748413651174
413.9815950920246; 12.587600754587548
419.7361963190185; 13.128794374892813
425.49079754601235; 13.676882181444007
431.2453987730062; 14.197393243011494
437.0000000000001; 14.755822328931572
442.75460122699394; 15.262545018007202
448.50920245398777; 15.79684445206654
454.2638036809817; 16.317355513634023
460.42944785276086; 16.882247899159665
467.0061349693252; 17.46437575030012
473.17177914110437; 18.027113702623907
478.9263803680982; 18.540730577945467
485.09202453987734; 19.087094837935176
491.2576687116565; 19.633459097924884
497.42331288343564; 20.133718487394958
503.5889570552148; 20.764105642256904
510.9877300613498; 21.294957983193278
518.3865030674848; 21.871388555422172
526.196319018405; 22.40009603841537
534.8282208588957; 22.90725744843392
543.8711656441719; 23.35036560078577
552.914110429448; 23.732052821128455
561.957055214724; 24.036963876459676
571.0000000000001; 24.273873185637893
580.0429447852762; 24.44058714394849
589.0858895705522; 24.576590636254505
598.1288343558283; 24.642398777692897
607.1717791411044; 24.648979591836735
616.2147239263804; 24.646785987122122
625.2576687116565; 24.563429007966825
634.3006134969326; 24.423038306231586
643.3435582822086; 24.19929062534105
652.3865030674848; 23.9404452690167
661.4294478527609; 23.543402815671726
670.4723926380369; 23.111262686892942
679.515337423313; 22.637444068536507
688.558282208589; 22.137302193604718
697.1901840490798; 21.618295318127252
705.4110429447853; 21.075378151260505
713.6319018404909; 20.561416566626654
721.8527607361964; 19.99195678271309
729.6625766871167; 19.450380152060823
736.6503067484664; 18.939300720288117
743.2269938650307; 18.41749699879952
749.8036809815952; 17.886644657863144
755.9693251533744; 17.38250728862974
762.1349693251535; 16.84002100840336
768.3006134969327; 16.286331675527354
774.0552147239265; 15.752032241468019
780.2208588957056; 15.223334333733494
786.79754601227; 14.719627851140459
793.3742331288345; 14.200840336134455
799.9509202453988; 13.70919867947179
806.9386503067486; 13.206162464985997
814.3374233128835; 12.680672268907564
821.7361963190185; 12.147138855542217
829.1349693251535; 11.608243297318928
836.5337423312884; 11.074709883953581
843.9325153374234; 10.549219687875148
851.7423312883436; 9.980564225690276
859.552147239264; 9.428531412565025
866.9509202453988; 8.90840336134454
873.9386503067486; 8.40972388955582
881.3374233128835; 7.888523409363749
889.1472392638038; 7.32925170068027
896.5460122699387; 6.814485794317729
903.9447852760737; 6.272909163665464
911.3435582822087; 5.784953981592636
919.5644171779143; 5.264094728800615
928.6073619631903; 4.755178435010368
937.6503067484664; 4.276972607224707
946.6932515337425; 3.829477245443634
955.7361963190185; 3.4104987449525233
964.7791411042946; 2.980552220888356
973.8220858895706; 2.598865000545672
981.2208588957056; 2.342839993140114
